action,total_yield,cash,trades,parameters,global
ABCB,,,,,
ABCL,,,,,
ABCL,,,,,
ABCL,,,,,
ABCL,,,,,
ABCL,,,,,
ABCL,,,,,
ABEO,,,,,
ABEO,,,,,
ABEO,,,,,
ABEO,,,,,
ABEO,,,,,
ABEO,,,,,
ABOS,,,,,
ABOS,,,,,
ABOS,,,,,
ABOS,,,,,
ABOS,,,,,
ABOS,,,,,
ABSI,,,,,
ABSI,,,,,
ABSI,,,,,
ABSI,,,,,
ABSI,,,,,
ABSI,,,,,
ABUS,,,,,
ABUS,,,,,
ABUS,,,,,
ABUS,,,,,
ABUS,,,,,
ABUS,,,,,
ACAD,,,,,
ACAD,,,,,
ACAD,,,,,
ACAD,,,,,
ACAD,,,,,
ACAD,,,,,
ACB,,,,,
ACB,,,,,
ACB,,,,,
ACB,,,,,
ACB,,,,,
ACB,,,,,
ACCD,,,,,
ACCD,,,,,
ACCD,,,,,
ACCD,,,,,
ACCD,,,,,
ACCD,,,,,
ACET,,,,,
ACET,,,,,
ACET,,,,,
ACET,,,,,
ACET,,,,,
ACET,,,,,
ACGL,,,,,
ACGL,,,,,
ACGL,"0,98271037716",982.71037716,"{'2023-07-27': {'gain': 0.98271038, 'date': datetime.date(2023, 7, 25), 'type': 'SL'}}","{'before_earning': 5, 'note': 0.22, 'TP': 0.04, 'further_day': 5}","{'trade': 1, 'duree': 2, 'plus': 0, 'yield': 0.98271038}"
